Row,Space,시군구명,시도명,레코드 수
1,4,양주시,경기도,1
1,5,동두천시,경기도,1
1,6,연천군,경기도,1
1,7,포천시,경기도,1
1,8,철원군,강원도,1
1,9,화천군,강원도,1
1,10,양구군,강원도,1
1,11,고성군,강원도,1
2,2,강화군,인천광역시,1
2,3,파주시,경기도,1
2,4,고양시 일산서구,경기도,1
2,5,고양시 덕양구,경기도,1
2,6,강북구,서울특별시,1
2,7,도봉구,서울특별시,1
2,8,의정부시,경기도,1
2,9,가평군,경기도,1
2,10,춘천시,강원도,1
2,11,인제군,강원도,1
2,12,속초시,강원도,1
3,1,옹진군,인천광역시,1
3,2,동구,인천광역시,1
3,3,서구,인천광역시,1
3,4,고양시 일산동구,경기도,1
3,5,은평구,서울특별시,1
3,6,종로구,서울특별시,1
3,7,성북구,서울특별시,1
3,8,노원구,서울특별시,1
3,9,남양주시,경기도,1
3,10,홍천군,강원도,1
3,11,양양군,강원도,1
3,12,강릉시,강원도,1
4,1,중구,인천광역시,1
4,2,부평구,인천광역시,1
4,3,계양구,인천광역시,1
4,4,김포시,경기도,1
4,5,서대문구,서울특별시,1
4,6,중구,서울특별시,1
4,7,동대문구,서울특별시,1
4,8,중랑구,서울특별시,1
4,9,구리시,경기도,1
4,10,원주시,강원도,1
4,11,평창군,강원도,1
4,12,동해시,강원도,1
5,1,남구,인천광역시,1
5,2,남동구,인천광역시,1
5,3,부천시,경기도,1
5,4,강서구,서울특별시,1
5,5,마포구,서울특별시,1
5,6,용산구,서울특별시,1
5,7,성동구,서울특별시,1
5,8,광진구,서울특별시,1
5,9,광주시,경기도,1
5,10,양평군,경기도,1
5,11,횡성군,강원도,1
5,12,정선군,강원도,1
6,2,연수구,인천광역시,1
6,3,시흥시,경기도,1
6,4,구로구,서울특별시,1
6,5,양천구,서울특별시,1
6,6,영등포구,서울특별시,1
6,7,동작구,서울특별시,1
6,8,강동구,서울특별시,1
6,9,하남시,경기도,1
6,10,여주시,경기도,1
6,11,영월군,강원도,1
6,12,태백시,강원도,1
6,13,삼척시,강원도,1
7,2,안산시 단원구,경기도,1
